,time,battery_id,battery_state,charge_left,current,gps_accuracy,latitude,longitude,soc,soh,speed,temperature,utc,voltage,latency,time_delay,utc_delay
0,2023-01-13 15:08:21.583,TEMBDDPB244A0123,ON,65535.0,0.0,V,5.600011,-0.190011,100.0,99.0,0.0,31.0,2000-01-01 00:00:14,71.0,12115628.126383334,,
1,2023-01-13 15:08:57.765,TEMBDDPB244A0123,ON,65535.0,0.0,A,5.637760833333333,-0.098235,100.0,99.0,0.0,31.0,2023-01-13 15:08:54,71.0,0.06275,0.6030333333333334,12115628.666666666
2,2023-01-13 15:09:58.850,TEMBDDPB244A0123,ON,65535.0,0.0,A,5.637752166666667,-0.0982368333333333,100.0,99.0,0.0,31.0,2023-01-13 15:09:45,71.0,0.23083333333333333,1.0180833333333335,0.85
3,2023-01-13 15:14:59.825,TEMBDDPB244A0123,ON,65535.0,0.0,A,5.637752166666667,-0.0982368333333333,100.0,99.0,0.0,31.0,2023-01-13 15:09:45,71.0,5.247083333333333,5.01625,0.0
4,2023-01-13 15:19:00.884,TEMBDDPB244A0123,ON,65535.0,0.0,A,5.637743333333333,-0.0982395,100.0,99.0,0.0,31.0,2023-01-13 15:18:54,71.0,0.11473333333333334,4.01765,9.15
5,2023-01-13 15:19:56.801,TEMBDDPB244A0123,ON,65535.0,0.0,A,5.637697333333334,-0.0982115,100.0,99.0,,31.0,2023-01-13 15:19:54,71.0,0.046683333333333334,0.9319500000000001,1.0
6,2023-01-13 15:20:57.913,TEMBDDPB244A0123,ON,65535.0,0.0,A,5.637712,-0.0982373333333333,100.0,99.0,0.0,31.0,2023-01-13 15:20:54,71.0,0.06521666666666666,1.0185333333333333,1.0
7,2023-01-13 15:21:18.879,TEMBDDPB244A0123,ON,65535.0,0.0,A,5.637708166666666,-0.0982363333333333,100.0,99.0,0.0,31.0,2023-01-13 15:21:15,71.0,0.06465,0.3494333333333334,0.35
8,2023-01-13 15:22:20.075,TEMBDDPB244A0123,ON,65535.0,0.0,A,5.637701666666667,-0.0982361666666666,100.0,99.0,0.0,31.0,2023-01-13 15:22:06,71.0,0.2345833333333333,1.0199333333333334,0.85
9,2023-01-13 15:27:21.594,TEMBDDPB244A0123,ON,65535.0,0.0,A,5.637701666666667,-0.0982361666666666,100.0,99.0,0.0,31.0,2023-01-13 15:22:06,71.0,5.2599,5.025316666666667,0.0
10,2023-01-13 15:31:17.885,TEMBDDPB244A0123,ON,65535.0,0.0,A,5.637676833333334,-0.098264,100.0,99.0,0.0,31.0,2023-01-13 15:31:15,71.0,0.04808333333333333,3.9381833333333334,9.15
11,2023-01-13 15:31:53.832,TEMBDDPB244A0123,ON,65535.0,0.0,A,5.637674166666667,-0.0982603333333333,100.0,99.0,0.0,31.0,2023-01-13 15:31:48,71.0,0.0972,0.5991166666666667,0.55
12,2023-01-13 15:32:49.963,TEMBDDPB244A0123,ON,65535.0,0.0,A,5.6376735,-0.0982568333333333,100.0,99.0,0.0,31.0,2023-01-13 15:32:39,71.0,0.18271666666666667,0.9355166666666667,0.85
13,2023-01-13 15:37:51.393,TEMBDDPB244A0123,ON,65535.0,0.0,A,5.6376735,-0.0982568333333333,100.0,99.0,0.0,31.0,2023-01-13 15:32:39,71.0,5.206549999999999,5.023833333333333,0.0
14,2023-01-13 15:40:52.883,TEMBDDPB244A0123,ON,65535.0,0.0,A,5.637729,-0.0982211666666666,100.0,99.0,,31.0,2023-01-13 15:40:48,71.0,0.08138333333333334,3.0248333333333335,8.15
15,2023-01-13 15:41:53.958,TEMBDDPB244A0123,ON,65535.0,0.0,A,5.637697833333333,-0.0982326666666666,100.0,99.0,0.0,31.0,2023-01-13 15:41:48,71.0,0.0993,1.0179166666666668,1.0
16,2023-01-13 15:42:04.964,TEMBDDPB244A0123,ON,65535.0,0.0,A,5.637695166666667,-0.0982315,100.0,99.0,0.0,31.0,2023-01-13 15:41:59,71.0,0.0994,0.18343333333333334,0.18333333333333332
17,2023-01-13 15:43:01.052,TEMBDDPB244A0123,ON,65535.0,0.0,A,5.637692666666666,-0.0982293333333333,100.0,99.0,0.0,31.0,2023-01-13 15:42:50,71.0,0.1842,0.9348,0.85
18,2023-01-13 15:48:02.416,TEMBDDPB244A0123,ON,65535.0,0.0,A,5.637656,-0.0981593333333333,100.0,99.0,0.0,31.0,2023-01-13 15:47:59,71.0,0.05693333333333333,5.022733333333333,5.15
