time,battery_id,battery_state,charge_left,current,gps_accuracy,latitude,longitude,soc,soh,speed,temperature,utc,voltage
2023-01-14 04:15:34.919,TEMBDDPB244A0120,ON,65535.0,0.0,V,5.600011,-0.190011,32.0,99.0,0.0,29.0,2000-01-01 00:00:14,60.0
2023-01-14 04:16:15.986,TEMBDDPB244A0120,ON,65535.0,0.0,V,5.600011,-0.190011,32.0,99.0,0.0,29.0,2023-01-14 04:16:12,60.0
2023-01-14 04:17:17.049,TEMBDDPB244A0120,ON,65535.0,0.0,V,5.600011,-0.190011,32.0,99.0,0.0,29.0,2023-01-14  04:17:03,60.0
2023-01-14 04:22:18.164,TEMBDDPB244A0120,ON,65535.0,0.0,V,5.600011,-0.190011,32.0,99.0,0.0,29.0,2023-01-14  04:17:03,60.0
2023-01-14 04:27:19.200,TEMBDDPB244A0120,ON,65535.0,0.0,V,5.600011,-0.190011,32.0,99.0,0.0,29.0,2023-01-14  04:17:03,60.0
2023-01-14 04:32:15.210,TEMBDDPB244A0120,ON,65535.0,0.0,V,5.600011,-0.190011,32.0,99.0,0.0,29.0,2023-01-14  04:17:03,60.0
2023-01-14 04:37:16.663,TEMBDDPB244A0120,ON,65535.0,0.0,V,5.600011,-0.190011,32.0,99.0,0.0,29.0,2023-01-14  04:17:03,60.0
2023-01-14 04:42:17.754,TEMBDDPB244A0120,ON,65535.0,0.0,V,5.600011,-0.190011,32.0,99.0,0.0,29.0,2023-01-14  04:17:03,60.0
2023-01-14 04:47:19.105,TEMBDDPB244A0120,ON,65535.0,0.0,V,5.600011,-0.190011,32.0,99.0,0.0,29.0,2023-01-14  04:17:03,60.0
2023-01-14 04:52:15.177,TEMBDDPB244A0120,ON,65535.0,0.0,V,5.600011,-0.190011,32.0,99.0,0.0,29.0,2023-01-14  04:17:03,60.0
2023-01-14 04:57:16.617,TEMBDDPB244A0120,ON,65535.0,0.0,V,5.600011,-0.190011,32.0,99.0,0.0,29.0,2023-01-14  04:17:03,60.0
2023-01-14 05:02:17.534,TEMBDDPB244A0120,ON,65535.0,0.0,V,5.600011,-0.190011,32.0,99.0,0.0,29.0,2023-01-14  04:17:03,60.0
2023-01-14 05:07:18.579,TEMBDDPB244A0120,ON,65535.0,0.0,V,5.600011,-0.190011,32.0,99.0,0.0,29.0,2023-01-14  04:17:03,60.0
2023-01-14 05:12:14.557,TEMBDDPB244A0120,ON,65535.0,0.0,V,5.600011,-0.190011,32.0,99.0,0.0,29.0,2023-01-14  04:17:03,60.0
2023-01-14 05:17:15.530,TEMBDDPB244A0120,ON,65535.0,0.0,V,5.600011,-0.190011,32.0,99.0,0.0,29.0,2023-01-14  04:17:03,60.0
2023-01-14 05:22:16.599,TEMBDDPB244A0120,ON,65535.0,0.0,V,5.600011,-0.190011,32.0,99.0,0.0,29.0,2023-01-14  04:17:03,60.0
2023-01-14 05:27:17.577,TEMBDDPB244A0120,ON,65535.0,0.0,V,5.600011,-0.190011,32.0,99.0,0.0,29.0,2023-01-14  04:17:03,60.0
2023-01-14 05:32:19.071,TEMBDDPB244A0120,ON,65535.0,0.0,V,5.600011,-0.190011,32.0,99.0,0.0,29.0,2023-01-14  04:17:03,60.0
2023-01-14 05:37:15.598,TEMBDDPB244A0120,ON,65535.0,0.0,V,5.600011,-0.190011,32.0,99.0,0.0,29.0,2023-01-14  04:17:03,60.0
2023-01-14 05:42:16.424,TEMBDDPB244A0120,ON,65535.0,0.0,V,5.600011,-0.190011,32.0,99.0,0.0,29.0,2023-01-14  04:17:03,60.0
2023-01-14 05:47:17.586,TEMBDDPB244A0120,ON,65535.0,0.0,V,5.600011,-0.190011,32.0,99.0,0.0,29.0,2023-01-14  04:17:03,60.0
2023-01-14 05:52:18.555,TEMBDDPB244A0120,ON,65535.0,0.0,V,5.600011,-0.190011,32.0,99.0,0.0,29.0,2023-01-14  04:17:03,60.0
2023-01-14 05:57:15.016,TEMBDDPB244A0120,ON,65535.0,0.0,V,5.600011,-0.190011,32.0,99.0,0.0,29.0,2023-01-14  04:17:03,60.0
2023-01-14 06:02:16.076,TEMBDDPB244A0120,ON,65535.0,0.0,V,5.600011,-0.190011,32.0,99.0,0.0,29.0,2023-01-14  04:17:03,60.0
2023-01-14 06:07:17.506,TEMBDDPB244A0120,ON,65535.0,0.0,V,5.600011,-0.190011,32.0,99.0,0.0,29.0,2023-01-14  04:17:03,60.0
2023-01-14 06:12:18.389,TEMBDDPB244A0120,ON,65535.0,0.0,V,5.600011,-0.190011,32.0,99.0,0.0,29.0,2023-01-14  04:17:03,60.0
