time,battery_id,battery_state,charge_left,current,gps_accuracy,latitude,longitude,soc,soh,speed,temperature,utc,voltage
2023-01-13 12:41:17.509,TEMBDDPB244A0106,ON,65535.0,0.0,V,5.600011,-0.190011,100.0,99.0,0.0,28.0,2000-01-01 00:00:14,69.0
2023-01-13 12:41:58.512,TEMBDDPB244A0106,ON,65535.0,0.0,V,5.600011,-0.190011,100.0,99.0,0.0,28.0,2023-01-13 12:41:53,69.0
2023-01-13 12:42:55.946,TEMBDDPB244A0106,ON,65535.0,0.0,V,5.600011,-0.190011,100.0,99.0,0.0,28.0,2023-01-13 12:42:53,69.0
2023-01-13 12:47:58.086,TEMBDDPB244A0106,ON,65535.0,0.0,V,5.600011,-0.190011,100.0,99.0,0.0,28.0,2023-01-13 12:47:53,69.0
2023-01-13 12:52:59.586,TEMBDDPB244A0106,ON,65535.0,0.0,V,5.600011,-0.190011,100.0,99.0,0.0,28.0,2023-01-13 12:52:53,69.0
2023-01-13 12:57:56.083,TEMBDDPB244A0106,ON,65535.0,0.0,V,5.600011,-0.190011,100.0,99.0,0.0,28.0,2023-01-13 12:57:53,69.0
2023-01-13 13:02:57.491,TEMBDDPB244A0106,ON,65535.0,0.0,V,5.600011,-0.190011,100.0,99.0,0.0,28.0,2023-01-13 13:02:53,69.0
2023-01-13 13:07:58.574,TEMBDDPB244A0106,ON,65535.0,0.0,V,5.600011,-0.190011,100.0,99.0,0.0,28.0,2023-01-13 13:07:53,69.0
2023-01-13 13:12:55.100,TEMBDDPB244A0106,ON,65535.0,0.0,V,5.600011,-0.190011,100.0,99.0,0.0,27.0,2023-01-13 13:12:53,69.0
2023-01-13 13:14:56.392,TEMBDDPB244A0106,ON,65535.0,0.0,V,5.600011,-0.190011,100.0,99.0,0.0,27.0,2023-01-13 13:14:53,69.0
2023-01-13 13:15:42.693,TEMBDDPB244A0106,ON,65535.0,0.0,V,5.600011,-0.190011,100.0,99.0,0.0,27.0,2023-01-13 13:15:37,69.0
2023-01-13 13:16:38.920,TEMBDDPB244A0106,ON,65535.0,0.0,V,5.600011,-0.190011,100.0,99.0,0.0,27.0,2023-01-13 13:16:37,69.0
2023-01-13 13:18:40.123,TEMBDDPB244A0106,ON,65535.0,0.0,V,5.600011,-0.190011,100.0,99.0,0.0,27.0,2023-01-13 13:18:37,69.0
2023-01-13 13:19:41.021,TEMBDDPB244A0106,ON,65535.0,0.0,A,5.601287,-0.1914556666666666,100.0,99.0,,27.0,2023-01-13  13:19:37,69.0
2023-01-13 13:20:23.000,TEMBDDPB244A0106,ON,65535.0,0.0,A,5.601305833333333,-0.191402,100.0,99.0,0.0,27.0,2023-01-13  13:20:18,69.0
