time,battery_id,battery_state,charge_left,current,gps_accuracy,latitude,longitude,soc,soh,speed,temperature,utc,voltage
2023-01-13 11:41:27.910,TEMBDDPB244A0114,ON,65535.0,0.0,V,5.600011,-0.190011,100.0,99.0,0.0,27.0,2023-01-13 11:41:22,71.0
2023-01-13 11:46:24.356,TEMBDDPB244A0114,ON,65535.0,0.0,V,5.600011,-0.190011,100.0,99.0,0.0,27.0,2023-01-13 11:46:22,71.0
2023-01-13 11:51:26.182,TEMBDDPB244A0114,ON,65535.0,0.0,V,5.600011,-0.190011,100.0,99.0,0.0,27.0,2023-01-13 11:51:22,71.0
2023-01-13 11:56:28.249,TEMBDDPB244A0114,ON,65535.0,0.0,V,5.600011,-0.190011,100.0,99.0,0.0,27.0,2023-01-13 11:56:22,71.0
2023-01-13 12:01:24.129,TEMBDDPB244A0114,ON,65535.0,0.0,V,5.600011,-0.190011,100.0,99.0,0.0,27.0,2023-01-13 12:01:22,71.0
2023-01-13 12:06:25.293,TEMBDDPB244A0114,ON,65535.0,0.0,V,5.600011,-0.190011,100.0,99.0,0.0,27.0,2023-01-13 12:06:22,71.0
2023-01-13 12:11:26.288,TEMBDDPB244A0114,ON,65535.0,0.0,V,5.600011,-0.190011,100.0,99.0,0.0,27.0,2023-01-13 12:11:22,71.0
2023-01-13 12:16:27.784,TEMBDDPB244A0114,ON,65535.0,0.0,V,5.600011,-0.190011,100.0,99.0,0.0,27.0,2023-01-13 12:16:22,71.0
2023-01-13 12:21:24.245,TEMBDDPB244A0114,ON,65535.0,0.0,V,5.600011,-0.190011,100.0,99.0,0.0,26.0,2023-01-13 12:21:22,71.0
2023-01-13 12:26:26.265,TEMBDDPB244A0114,ON,65535.0,0.0,V,5.600011,-0.190011,100.0,99.0,0.0,26.0,2023-01-13 12:26:22,71.0
2023-01-13 12:31:28.233,TEMBDDPB244A0114,ON,65535.0,0.0,V,5.600011,-0.190011,100.0,99.0,0.0,26.0,2023-01-13 12:31:22,71.0
2023-01-13 12:36:24.730,TEMBDDPB244A0114,ON,65535.0,0.0,V,5.600011,-0.190011,100.0,99.0,0.0,26.0,2023-01-13 12:36:22,71.0
2023-01-13 12:41:25.749,TEMBDDPB244A0114,ON,65535.0,0.0,V,5.600011,-0.190011,100.0,99.0,0.0,26.0,2023-01-13 12:41:22,71.0
2023-01-13 12:46:27.131,TEMBDDPB244A0114,ON,65535.0,0.0,V,5.600011,-0.190011,100.0,99.0,0.0,26.0,2023-01-13 12:46:22,71.0
2023-01-13 12:51:28.167,TEMBDDPB244A0114,ON,65535.0,0.0,V,5.600011,-0.190011,100.0,99.0,0.0,26.0,2023-01-13 12:51:22,71.0
2023-01-13 12:56:25.220,TEMBDDPB244A0114,ON,65535.0,0.0,V,5.600011,-0.190011,100.0,99.0,0.0,26.0,2023-01-13 12:56:22,71.0
2023-01-13 13:01:27.184,TEMBDDPB244A0114,ON,65535.0,0.0,V,5.600011,-0.190011,100.0,99.0,0.0,26.0,2023-01-13 13:01:22,71.0
2023-01-13 13:06:23.713,TEMBDDPB244A0114,ON,65535.0,0.0,V,5.600011,-0.190011,100.0,99.0,0.0,26.0,2023-01-13 13:06:22,71.0
2023-01-13 13:11:25.312,TEMBDDPB244A0114,ON,65535.0,0.0,V,5.600011,-0.190011,100.0,99.0,0.0,26.0,2023-01-13 13:11:22,71.0
2023-01-13 13:16:27.656,TEMBDDPB244A0114,ON,65535.0,0.0,V,5.600011,-0.190011,100.0,99.0,0.0,26.0,2023-01-13 13:16:22,71.0
2023-01-13 13:21:24.704,TEMBDDPB244A0114,ON,65535.0,0.0,V,5.600011,-0.190011,100.0,99.0,0.0,26.0,2023-01-13 13:21:22,71.0
2023-01-13 13:22:11.620,TEMBDDPB244A0114,ON,65535.0,0.0,A,5.601157333333333,-0.1917688333333333,100.0,99.0,,26.0,2023-01-13  13:22:06,71.0
2023-01-13 13:23:12.531,TEMBDDPB244A0114,ON,65535.0,0.0,A,5.6011161666666665,-0.1918158333333333,100.0,99.0,0.0,26.0,2023-01-13  13:22:57,71.0
2023-01-13 13:24:08.641,TEMBDDPB244A0114,ON,65535.0,0.0,A,5.6010721666666665,-0.1915066666666666,100.0,99.0,0.0,26.0,2023-01-13  13:24:06,71.0
2023-01-13 13:24:39.532,TEMBDDPB244A0114,ON,65535.0,0.0,A,5.6011395,-0.1914921666666666,100.0,99.0,0.0,26.0,2023-01-13  13:24:37,71.0
2023-01-13 13:25:40.814,TEMBDDPB244A0114,ON,65535.0,0.0,A,5.6011245,-0.1914616666666666,100.0,99.0,0.0,26.0,2023-01-13  13:25:28,71.0
2023-01-13 13:30:42.237,TEMBDDPB244A0114,ON,65535.0,0.0,A,5.6011245,-0.1914616666666666,100.0,99.0,0.0,26.0,2023-01-13  13:25:28,71.0
2023-01-13 13:35:43.616,TEMBDDPB244A0114,ON,65535.0,0.0,A,5.6011245,-0.1914616666666666,100.0,99.0,0.0,26.0,2023-01-13  13:25:28,71.0
2023-01-13 13:36:39.587,TEMBDDPB244A0114,ON,65535.0,0.0,A,5.6011115,-0.191427,100.0,99.0,0.0,27.0,2023-01-13  13:36:37,71.0
2023-01-13 13:37:40.510,TEMBDDPB244A0114,ON,65535.0,0.0,A,5.601107666666667,-0.1914266666666666,100.0,99.0,0.0,28.0,2023-01-13  13:37:37,71.0
2023-01-13 13:38:41.653,TEMBDDPB244A0114,ON,65535.0,0.0,A,5.6020935,-0.1919493333333333,100.0,99.0,,28.0,2023-01-13  13:38:37,71.0
2023-01-13 13:39:44.420,TEMBDDPB244A0114,ON,65535.0,0.0,A,5.600420333333333,-0.1939391666666666,100.0,99.0,,28.0,2023-01-13  13:39:37,71.0
2023-01-13 13:40:40.937,TEMBDDPB244A0114,ON,65535.0,0.0,A,5.602911166666667,-0.1985711666666666,100.0,99.0,,28.0,2023-01-13  13:40:37,71.0
2023-01-13 13:41:43.117,TEMBDDPB244A0114,ON,65535.0,0.0,A,5.605337666666666,-0.2004035,100.0,99.0,,28.0,2023-01-13  13:41:37,71.0
2023-01-13 13:42:39.384,TEMBDDPB244A0114,ON,65535.0,0.0,A,5.604878,-0.2032856666666666,100.0,99.0,,28.0,2023-01-13  13:42:37,71.0
2023-01-13 13:43:40.451,TEMBDDPB244A0114,ON,65535.0,0.0,A,5.6065055,-0.2058516666666666,100.0,99.0,,28.0,2023-01-13  13:43:37,71.0
2023-01-13 13:44:42.455,TEMBDDPB244A0114,ON,65535.0,0.0,A,5.606810666666666,-0.2063176666666666,100.0,99.0,0.0,28.0,2023-01-13  13:44:37,71.0
2023-01-13 13:44:58.567,TEMBDDPB244A0114,ON,65535.0,0.0,A,5.606922666666667,-0.2064955,100.0,99.0,,28.0,2023-01-13  13:44:55,71.0
2023-01-13 13:46:00.657,TEMBDDPB244A0114,ON,65535.0,0.0,A,5.6093445,-0.2100648333333333,100.0,99.0,0.0,29.0,2023-01-13  13:45:55,71.0
2023-01-13 13:47:00.273,TEMBDDPB244A0114,ON,65535.0,0.0,A,5.61027,-0.2113218333333333,100.0,99.0,,29.0,2023-01-13  13:46:55,71.0
2023-01-13 13:48:02.299,TEMBDDPB244A0114,ON,65535.0,0.0,A,5.6145305,-0.2137013333333333,100.0,99.0,,29.0,2023-01-13  13:47:55,71.0
2023-01-13 13:48:58.330,TEMBDDPB244A0114,ON,65535.0,0.0,A,5.615248,-0.2153558333333333,100.0,99.0,,29.0,2023-01-13  13:48:55,71.0
2023-01-13 13:49:59.389,TEMBDDPB244A0114,ON,65535.0,0.0,A,5.614304333333333,-0.2213453333333333,100.0,99.0,,29.0,2023-01-13  13:49:55,71.0
2023-01-13 13:51:00.275,TEMBDDPB244A0114,ON,65535.0,0.0,A,5.6120865,-0.2290288333333333,100.0,99.0,,29.0,2023-01-13  13:50:55,71.0
2023-01-13 13:52:01.368,TEMBDDPB244A0114,ON,65535.0,0.0,A,5.6096625,-0.237081,100.0,99.0,,29.0,2023-01-13  13:51:55,71.0
2023-01-13 13:52:07.633,TEMBDDPB244A0114,ON,65535.0,0.0,A,5.6096625,-0.237081,100.0,99.0,,29.0,2023-01-13  13:51:55,71.0
2023-01-14 10:41:18.415,TEMBDDPB244A0114,ON,65535.0,0.0,V,5.600011,-0.190011,100.0,99.0,0.0,27.0,2000-01-01 00:00:14,71.0
2023-01-14 10:41:54.471,TEMBDDPB244A0114,ON,65535.0,0.0,A,5.6219905,-0.2741791666666666,100.0,99.0,0.0,27.0,2023-01-14  10:41:50,71.0
2023-01-14 10:42:55.768,TEMBDDPB244A0114,ON,65535.0,0.0,A,5.6219858333333335,-0.2742473333333333,100.0,99.0,0.0,27.0,2023-01-14  10:42:41,71.0
