time,battery_id,battery_state,charge_left,current,gps_accuracy,latitude,longitude,soc,soh,speed,temperature,utc,voltage
2023-01-13 14:12:47.469,TEMBDDPB244A0100,ON,65535.0,0.0,V,5.600011,-0.190011,100.0,99.0,0.0,29.0,2000-01-01 00:00:14,71.0
2023-01-13 14:13:23.494,TEMBDDPB244A0100,ON,65535.0,0.0,A,5.6376885,-0.0981151666666666,100.0,99.0,0.0,29.0,2023-01-13  14:13:19,71.0
2023-01-13 14:14:24.607,TEMBDDPB244A0100,ON,65535.0,0.0,A,5.6376855,-0.098119,100.0,99.0,0.0,29.0,2023-01-13  14:14:10,71.0
2023-01-13 14:19:26.160,TEMBDDPB244A0100,ON,65535.0,0.0,A,5.6376855,-0.098119,100.0,99.0,0.0,29.0,2023-01-13  14:14:10,71.0
2023-01-13 14:24:22.223,TEMBDDPB244A0100,ON,65535.0,0.0,A,5.637719,-0.0981733333333333,100.0,99.0,0.0,29.0,2023-01-13  14:24:19,71.0
2023-01-13 14:25:13.281,TEMBDDPB244A0100,ON,65535.0,0.0,A,5.637742333333334,-0.0981728333333333,100.0,99.0,,29.0,2023-01-13  14:25:07,71.0
2023-01-13 14:26:09.203,TEMBDDPB244A0100,ON,65535.0,0.0,A,5.637751,-0.0981196666666666,100.0,99.0,0.0,29.0,2023-01-13  14:26:07,71.0
2023-01-13 14:27:10.311,TEMBDDPB244A0100,ON,65535.0,0.0,A,5.6377508333333335,-0.0981231666666666,100.0,99.0,0.0,29.0,2023-01-13  14:27:07,71.0
2023-01-13 14:28:11.205,TEMBDDPB244A0100,ON,65535.0,0.0,A,5.637947,-0.0993133333333333,100.0,99.0,,29.0,2023-01-13  14:28:07,71.0
2023-01-13 14:29:12.352,TEMBDDPB244A0100,ON,65535.0,0.0,A,5.6378965,-0.098874,100.0,99.0,,30.0,2023-01-13  14:29:07,71.0
2023-01-13 14:30:13.365,TEMBDDPB244A0100,ON,65535.0,0.0,A,5.6378916666666665,-0.098156,100.0,99.0,,30.0,2023-01-13  14:30:07,71.0
2023-01-13 14:31:19.266,TEMBDDPB244A0100,ON,65535.0,0.0,A,5.637888666666667,-0.0981905,100.0,99.0,0.0,30.0,2023-01-13  14:31:15,71.0
2023-01-13 14:32:20.220,TEMBDDPB244A0100,ON,65535.0,0.0,A,5.636573333333334,-0.0999906666666666,100.0,99.0,,30.0,2023-01-13  14:32:15,71.0
2023-01-13 14:33:20.944,TEMBDDPB244A0100,ON,65535.0,0.0,A,5.635987833333333,-0.1005871666666666,100.0,99.0,,30.0,2023-01-13  14:33:15,71.0
2023-01-13 14:34:22.084,TEMBDDPB244A0100,ON,65535.0,0.0,A,5.636026833333333,-0.1005726666666666,100.0,99.0,0.0,30.0,2023-01-13  14:34:15,71.0
2023-01-13 14:35:18.054,TEMBDDPB244A0100,ON,65535.0,0.0,A,5.636035166666667,-0.1005838333333333,100.0,99.0,0.0,30.0,2023-01-13  14:35:15,71.0
2023-01-13 14:35:58.969,TEMBDDPB244A0100,ON,65535.0,0.0,A,5.636038,-0.1005856666666666,100.0,99.0,0.0,30.0,2023-01-13  14:35:53,71.0
2023-01-13 14:36:59.973,TEMBDDPB244A0100,ON,65535.0,0.0,A,5.636040666666666,-0.1005856666666666,100.0,99.0,0.0,30.0,2023-01-13  14:36:53,71.0
2023-01-13 14:37:55.919,TEMBDDPB244A0100,ON,65535.0,0.0,A,5.636036,-0.1005923333333333,100.0,99.0,0.0,30.0,2023-01-13  14:37:52,71.0
2023-01-13 14:38:57.066,TEMBDDPB244A0100,ON,65535.0,0.0,A,5.6360335,-0.100592,100.0,99.0,0.0,30.0,2023-01-13  14:38:43,71.0
