time,battery_id,battery_state,charge_left,current,gps_accuracy,latitude,longitude,soc,soh,speed,temperature,utc,voltage
2023-01-13 11:38:58.492,TEMBDDPB244A0102,ON,65535.0,0.0,V,5.600011,-0.190011,33.0,99.0,0.0,24.0,2023-01-13 11:38:54,60.0
2023-01-13 11:44:00.042,TEMBDDPB244A0102,ON,65535.0,0.0,V,5.600011,-0.190011,33.0,99.0,0.0,24.0,2023-01-13 11:43:54,60.0
2023-01-13 11:48:56.465,TEMBDDPB244A0102,ON,65535.0,0.0,V,5.600011,-0.190011,33.0,99.0,0.0,25.0,2023-01-13 11:48:54,60.0
2023-01-13 11:51:57.929,TEMBDDPB244A0102,ON,65535.0,0.0,V,5.600011,-0.190011,33.0,99.0,0.0,25.0,2023-01-13 11:51:54,60.0
2023-01-13 11:52:39.777,TEMBDDPB244A0102,ON,65535.0,0.0,V,5.600011,-0.190011,33.0,99.0,0.0,25.0,2023-01-13  11:52:36,60.0
2023-01-13 11:53:40.861,TEMBDDPB244A0102,ON,65535.0,0.0,V,5.600011,-0.190011,33.0,99.0,0.0,25.0,2023-01-13  11:53:36,60.0
2023-01-13 11:53:56.750,TEMBDDPB244A0102,ON,65535.0,0.0,V,5.600011,-0.190011,33.0,99.0,0.0,25.0,2023-01-13  11:53:50,60.0
2023-01-13 11:54:52.945,TEMBDDPB244A0102,ON,65535.0,0.0,V,5.600011,-0.190011,33.0,99.0,0.0,25.0,2023-01-13  11:54:50,60.0
2023-01-13 11:55:59.002,TEMBDDPB244A0102,ON,65535.0,0.0,V,5.600011,-0.190011,33.0,99.0,0.0,25.0,2023-01-13  11:55:54,60.0
2023-01-13 11:57:00.063,TEMBDDPB244A0102,ON,65535.0,0.0,V,5.600011,-0.190011,33.0,99.0,0.0,25.0,2023-01-13  11:56:45,60.0
2023-01-13 11:57:56.122,TEMBDDPB244A0102,ON,65535.0,0.0,V,5.600011,-0.190011,33.0,99.0,0.0,25.0,2023-01-13 11:57:54,60.0
2023-01-13 11:58:37.125,TEMBDDPB244A0102,ON,65535.0,0.0,V,5.600011,-0.190011,33.0,99.0,0.0,25.0,2023-01-13  11:58:35,60.0
2023-01-13 11:59:38.218,TEMBDDPB244A0102,ON,65535.0,0.0,V,5.600011,-0.190011,33.0,99.0,0.0,25.0,2023-01-13  11:59:26,60.0
2023-01-13 12:04:40.333,TEMBDDPB244A0102,ON,65535.0,0.0,V,5.600011,-0.190011,33.0,99.0,0.0,25.0,2023-01-13  11:59:26,60.0
2023-01-13 12:09:41.435,TEMBDDPB244A0102,ON,65535.0,0.0,V,5.600011,-0.190011,33.0,99.0,0.0,25.0,2023-01-13  11:59:26,60.0
2023-01-13 12:14:38.361,TEMBDDPB244A0102,ON,65535.0,0.0,V,5.600011,-0.190011,33.0,99.0,0.0,25.0,2023-01-13 12:14:35,60.0
2023-01-13 12:15:35.174,TEMBDDPB244A0102,ON,65535.0,0.0,V,5.600011,-0.190011,33.0,99.0,0.0,25.0,2023-01-13 12:15:31,60.0
2023-01-13 12:16:36.064,TEMBDDPB244A0102,ON,65535.0,0.0,V,5.600011,-0.190011,33.0,99.0,0.0,25.0,2023-01-13  12:16:31,60.0
2023-01-13 12:17:37.064,TEMBDDPB244A0102,ON,65535.0,0.0,V,5.600011,-0.190011,33.0,99.0,0.0,25.0,2023-01-13  12:17:31,60.0
2023-01-13 12:18:33.889,TEMBDDPB244A0102,ON,65535.0,0.0,V,5.600011,-0.190011,33.0,99.0,0.0,25.0,2023-01-13  12:18:31,60.0
2023-01-13 12:19:34.887,TEMBDDPB244A0102,ON,65535.0,0.0,V,5.600011,-0.190011,33.0,99.0,0.0,25.0,2023-01-13  12:19:31,60.0
2023-01-13 12:20:36.011,TEMBDDPB244A0102,ON,65535.0,0.0,A,5.618824,-0.1842613333333333,33.0,99.0,,25.0,2023-01-13  12:20:31,60.0
2023-01-13 12:21:37.893,TEMBDDPB244A0102,ON,65535.0,0.0,A,5.618765166666667,-0.1844003333333333,33.0,99.0,0.0,25.0,2023-01-13  12:21:31,60.0
2023-01-13 12:22:35.097,TEMBDDPB244A0102,ON,65535.0,0.0,A,5.6187838333333335,-0.1843768333333333,33.0,99.0,,26.0,2023-01-13  12:22:31,60.0
2023-01-13 12:23:11.910,TEMBDDPB244A0102,ON,65535.0,0.0,A,5.619000166666667,-0.1841828333333333,33.0,99.0,,26.0,2023-01-13  12:23:08,60.0
